postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
461906,RU,Сорочинск 6,Оренбургская Область,55.0,,,,,52.4333,53.1667,1.0
628310,RU,Нефтеюганск 10,Тюменская Область,78.0,,,,,60.8668,72.2917,1.0
367950,RU,Махачкала-Опп,Дагестан Республика,17.0,,,,,43.0136,47.3362,1.0
399081,RU,Совхоз Песковатский,Липецкая Область,43.0,ГРЯЗИНСКИЙ РАЙОН,,,,52.2392,40.6972,1.0
127576,RU,Москва 576,Москва,48.0,,,,,55.7522,37.6156,1.0
461045,RU,Бузулук 5,Оренбургская Область,55.0,,,,,52.7833,52.25,1.0
628305,RU,Нефтеюганск 5,Тюменская Область,78.0,,,,,61.0833,72.7,1.0
624051,RU,Бруснятское,Свердловская Область,71.0,БЕЛОЯРСКИЙ РАЙОН,,,,56.7125,61.5278,4.0
140011,RU,Люберцы 11,Московская Область,47.0,,,,,55.6386,37.9263,1.0
624443,RU,Краснотурьинск 3,Свердловская Область,71.0,,,,,59.7733,60.1853,1.0
443030,RU,Самара 30,Самарская Область,65.0,,,,,52.1167,36.7833,1.0
666361,RU,Новая Уда,Иркутская Область,20.0,УСТЬ-УДИНСКИЙ РАЙОН,,,,54.0331,103.6028,4.0
180000,RU,Псков,Псковская Область,60.0,,,,,57.8333,28.3333,4.0
629830,RU,Губкинский,Тюменская Область,78.0,,,,,64.4553,76.6169,4.0
162314,RU,Леушинская,Вологодская Область,85.0,ВЕРХОВАЖСКИЙ РАЙОН,,,,61.1833,41.9167,4.0
398502,RU,Студеные Выселки,Липецкая Область,43.0,ЛИПЕЦКИЙ РАЙОН,,,,53.0178,39.0172,1.0
413362,RU,Новоузенск 2,Саратовская Область,67.0,НОВОУЗЕНСКИЙ РАЙОН,,,,50.4592,48.1431,1.0
215110,RU,Вязьма,Смоленская Область,69.0,,,,,55.205,34.2922,4.0
305025,RU,Курск 25,Курская Область,41.0,,,,,51.883,36.2659,1.0
390037,RU,Рязань 37,Рязанская Область,62.0,,,,,54.6197,39.74,1.0
665813,RU,Ангарск 13,Иркутская Область,20.0,,,,,52.4546,103.8195,1.0
452685,RU,Нефтекамск 5,Башкортостан Республика,8.0,,,,,56.0833,54.2667,1.0
162677,RU,Тоншалово,Вологодская Область,85.0,ЧЕРЕПОВЕЦКИЙ РАЙОН,,,,58.7408,35.7233,1.0
353440,RU,Анапа,Краснодарский Край,38.0,,,,,44.89,37.32,4.0
305004,RU,Курск 4,Курская Область,41.0,,,,,51.883,36.2659,1.0
241020,RU,Брянск 20,Брянская Область,10.0,,,,,49.8757,62.7357,1.0
350900,RU,Калинино,Краснодарский Край,38.0,,,,,45.1058,38.9333,4.0
399055,RU,Грязи 5,Липецкая Область,43.0,ГРЯЗИНСКИЙ РАЙОН,,,,52.4917,39.9436,1.0
450000,RU,Уфа,Башкортостан Республика,8.0,,,,,55.75,60.1167,4.0
125167,RU,Москва 167,Москва,48.0,,,,,55.7522,37.6156,1.0
617005,RU,Уральский,Пермский Край,90.0,НЫТВЕНСКИЙ РАЙОН,,,,57.9375,55.5517,4.0
426072,RU,Ижевск 72,Удмуртская Республика,80.0,,,,,56.85,53.2333,1.0
665824,RU,Ангарск 24,Иркутская Область,20.0,,,,,52.4546,103.8195,1.0
460000,RU,Оренбург,Оренбургская Область,55.0,,,,,51.7847,55.0986,4.0
660118,RU,Красноярск 118,Красноярский Край,91.0,,,,,58.1708,109.0781,1.0
399059,RU,Грязи 9,Липецкая Область,43.0,ГРЯЗИНСКИЙ РАЙОН,,,,52.4917,39.9436,1.0
113452,,,,,,,,,,,
427990,RU,Сигаево,Удмуртская Республика,80.0,САРАПУЛЬСКИЙ РАЙОН,,,,56.4203,53.7808,4.0
624867,RU,Камышлов 7,Свердловская Область,71.0,,,,,56.8428,62.7111,1.0
394019,RU,Воронеж 19,Воронежская Область,86.0,,,,,54.15,41.2333,1.0
663180,RU,Енисейск,Красноярский Край,91.0,,,,,58.4497,92.1703,4.0
142702,RU,Видное 2,Московская Область,47.0,,,,,55.5542,37.7106,1.0
109652,RU,Москва 652,Москва,48.0,,,,,55.7522,37.6156,1.0
306020,RU,Золотухино,Курская Область,41.0,ЗОЛОТУХИНСКИЙ РАЙОН,,,,52.65,37.7,4.0
